word,count
decent,903
amount,229
waste,581
notice,185
extended,86
upgrade,109
choice,229
solid,465
legit,48
granddaughter,32
properly,533
lived,16
size,914
especially,521
review,1147
theyll,75
norm,6
drain,60
recommend,2064
getting,833
wouldnt,335
teenagers,8
uncomfortable,267
sweat,323
crazy,96
must,625
imagine,69
e,13
returning,256
thank,314
making,298
bullet,13
far,1737
kind,340
silicon,32
skin,13
put,1651
family,117
muy,99
bueno,27
timo,1
producto,49
heard,269
hard,608
state,44
let,328
god,41
tv,112
instant,25
pairing,681
feels,347
month,841
usehave,1
idea,140
option,354
eh,11
pros,151
everywhere,59
jeans,17
pocket,613
lag,80
workneutral,1
buds,4073
capabilitycons,2
tops,12
longer,448
lot,923
desired,34
tell,400
powerbeats,47
pro,376
amazingoverallyou,1
win,33
lasting,107
those,515
bring,40
huge,243
ended,208
happierthough,1
dislike,74
stars,1730
basic,86
desk,93
course,118
offsets,1
cons,118
trust,112
site,42
value,1282
difference,191
emmmmm,1
dudeeee,1
loveeeee,1
themmmm,1
nearly,114
tired,60
tangled,76
almost,614
daily,271
pop,127
em,110
immediatelyoccasionally,1
blip,3
once,964
moon,5
bother,81
worse,159
magical,8
magic,42
defective,336
set,1300
shipped,65
april,42
held,85
onto,108
untiljune,1
granddaughters,5
graduation,5
then,1905
present,66
window,86
closed,93
replace,457
ithelp,1
earpods,128
precautiousely,1
overcharge,2
started,457
again,1287
crappy,18
overcharging,3
precautions,2
sold,78
ordeal,2
upon,115
eligible,3
expired,12
prior,73
malfunction,22
hurray,1
stuck,143
dead,167
o,22
weird,129
none,139
samsung,1154
crystal,203
forever,55
keeps,235
brilliant,49
airports,7
item,529
wa,7
worried,164
gonna,78
fake,158
low,1037
stuff,143
girlfriend,23
lover,174
improved,121
minute,144
replaced,319
meh,42
hoped,38
theyd,41
beupon,1
three,438
timesupporting,1
software,104
difficult,299
precisely,16
caseyoull,1
constantly,353
losing,131
pay,265
eitherits,1
allotted,1
everyday,173
addition,96
rather,202
discount,59
green,22
ligit,1
clearly,225
quite,672
change,383
convenientit,2
automaticly,3
earsgreat,3
wore,69
costco,8
youve,37
owned,288
bose,346
imo,31
greatest,36
sync,182
problems,538
unopened,3
running,722
runninglet,1
repeat,28
ninja,2
gaiden,1
fool,18
clearest,4
lightning,39
configure,12
offical,1
reallol,1
delivered,181
freely,11
cord,247
